[start] 36 items to validate
[  1/36] K1-008   n_unique=3 modal=false
[  2/36] K1-007   n_unique=2 modal=false
[  3/36] K1-001   n_unique=1 modal=cannot-be-determined
[  4/36] K1-003   n_unique=1 modal=cannot-be-determined
[  5/36] K1-005   n_unique=1 modal=financial
[  6/36] K1-006   n_unique=2 modal=cannot-be-determined
[  7/36] K1-004   n_unique=2 modal=false
[  8/36] K1-002   n_unique=2 modal=cannot-be-determined
[  9/36] K1-011   n_unique=1 modal=cannot-be-determined
[ 10/36] K1-013   n_unique=1 modal=cannot-be-determined
[ 11/36] K1-009   n_unique=2 modal=false
[ 12/36] K1-014   n_unique=2 modal=true
[ 13/36] K1-012   n_unique=1 modal=cannot-be-determined
[ 14/36] K1-010   n_unique=2 modal=true
[ 15/36] K1-015   n_unique=2 modal=true
[ 16/36] K1-016   n_unique=2 modal=cannot-be-determined
[ 17/36] K2-007   n_unique=2 modal=false
[ 18/36] K2-003   n_unique=2 modal=false
[ 19/36] K1-019   n_unique=2 modal=cannot-be-determined
[ 20/36] K2-005   n_unique=2 modal=true
[ 21/36] K2-006   n_unique=3 modal=expanding right side
[ 22/36] K1-018   n_unique=1 modal=cannot-be-determined
[ 23/36] K1-020   n_unique=3 modal=false
[ 24/36] K1-017   n_unique=2 modal=false
[ 25/36] K2-010   n_unique=2 modal=true
[ 26/36] K2-018   n_unique=3 modal=key issue: tenebrith
[ 27/36] K2-012   n_unique=2 modal=false
[ 28/36] K2-013   n_unique=3 modal=false
[ 29/36] K2-008   n_unique=3 modal=cannot-be-determined
[ 30/36] K2-015   n_unique=2 modal=true
[ 31/36] K2-016   n_unique=1 modal=true
[ 32/36] K4-001   n_unique=1 modal=ambiguity
[ 33/36] K4-002   n_unique=2 modal=cooperate
[ 34/36] K4-003   n_unique=1 modal=y
[ 35/36] K4-004   n_unique=1 modal=partial-announce
[ 36/36] K4-008   n_unique=3 modal=hold
[done] wrote cross_model_results.json and cross_model_report.md
